Symbol	Name	Gene Family	Type	RNA-Seq Correlation	RNA-Seq Correlation Self-Rank
COPS7A	COP9 signalosome subunit 7A	COP9 signalosome	landmark		
NSDHL	NAD(P) dependent steroid dehydrogenase-like	Short chain dehydrogenase/reductase superfamily	landmark		
ATP11B	ATPase phospholipid transporting 11B (putative)	ATPase phospholipid transporting	landmark		
PRAF2	PRA1 domain family member 2	YIP family	landmark		
JMJD6	arginine demethylase and lysine hydroxylase		landmark		
RRS1	ribosome biogenesis regulator homolog		landmark		
MPC2	mitochondrial pyruvate carrier 2		landmark		
ARID5B	AT-rich interaction domain 5B	AT-rich interaction domain containing	landmark		
POLG2	DNA polymerase gamma 2, accessory subunit	DNA polymerases	landmark		
CHEK2	checkpoint kinase 2		landmark		
BACE2	beta-site APP-cleaving enzyme 2		landmark		
COG4	component of oligomeric golgi complex 4	Components of oligomeric golgi complex	landmark		
SPDEF	SAM pointed domain containing ETS transcription factor	ETS transcription factor family	landmark		
BAMBI	BMP and activin membrane bound inhibitor		landmark		
SPRED2	sprouty related EVH1 domain containing 2		landmark		
SLC2A6	solute carrier family 2 member 6	Solute carriers	landmark		
SNX13	sorting nexin 13	Sorting nexins	landmark		
NISCH	nischarin		landmark		
AARS	alanyl-tRNA synthetase	Aminoacyl tRNA synthetases, Class II	landmark		
ABCF1	ATP binding cassette subfamily F member 1	ATP binding cassette subfamily F	landmark		
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	SH2 domain containing	landmark		
FCHO1	FCH domain only 1	F-BAR domain containing	landmark		
DCUN1D4	defective in cullin neddylation 1 domain containing 4		landmark		
PSIP1	PC4 and SFRS1 interacting protein 1	PWWP domain containing	landmark		
ACAA1	acetyl-CoA acyltransferase 1		landmark		
ACAT2	acetyl-CoA acetyltransferase 2		landmark		
ACLY	ATP citrate lyase		landmark		
PKIG	cAMP-dependent protein kinase inhibitor gamma		landmark		
CORO1A	coronin 1A	WD repeat domain containing, Coronins	landmark		
MAST2	microtubule associated serine/threonine kinase 2	PDZ domain containing	landmark		
GPATCH8	G-patch domain containing 8	G-patch domain containing	landmark		
FBXO7	F-box protein 7	F-boxes other, Parkinson disease associated genes	landmark		
LSM6	LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated		landmark		
PWP1	PWP1 homolog, endonuclein	WD repeat domain containing	landmark		
KIF5C	kinesin family member 5C	Kinesins	landmark		
KIT	KIT proto-oncogene receptor tyrosine kinase	Receptor Tyrosine Kinases, CD molecules, Immunoglobulin like domain containing	landmark		
FUT1	fucosyltransferase 1 (H blood group)	Fucosyltransferases, Blood group antigens	landmark		
FYN	FYN proto-oncogene, Src family tyrosine kinase	SH2 domain containing, Src family tyrosine kinases	landmark		
GAA	glucosidase alpha, acid		landmark		
CLTC	clathrin heavy chain		landmark		
CLTB	clathrin light chain B		landmark		
SLC37A4	solute carrier family 37 member 4	Solute carriers	landmark		
GABPB1	GA binding protein transcription factor beta subunit 1	Ankyrin repeat domain containing	landmark		
KTN1	kinectin 1		landmark		
GALE	UDP-galactose-4-epimerase	Short chain dehydrogenase/reductase superfamily	landmark		
GAPDH	glyceraldehyde-3-phosphate dehydrogenase		landmark		
COL4A1	collagen type IV alpha 1 chain	Collagens	landmark		
COL1A1	collagen type I alpha 1 chain	Collagens	landmark		
TRIM2	tripartite motif containing 2	Ring finger proteins, Tripartite motif containing	landmark		
TSKU	tsukushi, small leucine rich proteoglycan		landmark		
WASHC4	WASH complex subunit 4	WASH complex	landmark		
USP22	ubiquitin specific peptidase 22	Ubiquitin specific peptidases, SAGA complex	landmark		
HDAC6	histone deacetylase 6	Protein phosphatase 1 regulatory subunits, Histone deacetylases, class IIB	landmark		
TWF2	twinfilin actin binding protein 2		landmark		
WDR7	WD repeat domain 7	WD repeat domain containing	landmark		
JADE2	jade family PHD finger 2	PHD finger proteins	landmark		
ATMIN	ATM interactor	Zinc fingers C2H2-type	landmark		
C2CD2	C2 calcium dependent domain containing 2	C2 domain containing	landmark		
DDX42	DEAD-box helicase 42	DEAD-box helicases	landmark		
TIPARP	TCDD inducible poly(ADP-ribose) polymerase	Poly(ADP-ribose) polymerases	landmark		
GNPDA1	glucosamine-6-phosphate deaminase 1		landmark		
ECD	ecdysoneless cell cycle regulator		landmark		
CLIC4	chloride intracellular channel 4	Chloride intracellular channels	landmark		
PNKP	polynucleotide kinase 3'-phosphatase	HAD Asp-based non-protein phosphatases	landmark		
CAMSAP2	calmodulin regulated spectrin associated protein family member 2		landmark		
CHP1	calcineurin like EF-hand protein 1	EF-hand domain containing	landmark		
PDS5A	PDS5 cohesin associated factor A		landmark		
RRP12	ribosomal RNA processing 12 homolog		landmark		
SYNE2	spectrin repeat containing nuclear envelope protein 2	Spectrin repeat containing nuclear envelope family	landmark		
LAMA3	laminin subunit alpha 3	Laminin subunits	landmark		
STMN1	stathmin 1	Stathmins	landmark		
LBR	lamin B receptor	Tudor domain containing	landmark		
HEBP1	heme binding protein 1	Endogenous ligands	landmark		
GATA3	GATA binding protein 3	GATA zinc finger domain containing	landmark		
GATA2	GATA binding protein 2	GATA zinc finger domain containing	landmark		
LGALS8	galectin 8	Galectins	landmark		
LIG1	DNA ligase 1	DNA ligases, Nucleotide excision repair	landmark		
LIPA	lipase A, lysosomal acid type	Lipases	landmark		
GFPT1	glutamine--fructose-6-phosphate transaminase 1		landmark		
GHR	growth hormone receptor	Fibronectin type III domain containing	landmark		
CREB1	cAMP responsive element binding protein 1	Basic leucine zipper proteins	landmark		
RPL39L	ribosomal protein L39 like	L ribosomal proteins	landmark		
CRKL	CRK like proto-oncogene, adaptor protein	SH2 domain containing	landmark		
CRK	CRK proto-oncogene, adaptor protein	SH2 domain containing	landmark		
SLC35A3	solute carrier family 35 member A3	Solute carriers	landmark		
TRAP1	TNF receptor associated protein 1	Heat shock 90kDa proteins	landmark		
G3BP1	G3BP stress granule assembly factor 1	RNA binding motif containing	landmark		
KIF20A	kinesin family member 20A	Kinesins	landmark		
ARL4C	ADP ribosylation factor like GTPase 4C	ARF GTPase family	landmark		
SIRT3	sirtuin 3	Sirtuins	landmark		
TSPAN3	tetraspanin 3	Tetraspanins	landmark		
NUDCD3	NudC domain containing 3	NudC family	landmark		
SMC4	structural maintenance of chromosomes 4	Structural maintenance of chromosomes proteins	landmark		
ARHGEF12	Rho guanine nucleotide exchange factor 12	Rho guanine nucleotide exchange factors, PDZ domain containing	landmark		
PPP1R13B	protein phosphatase 1 regulatory subunit 13B	Ankyrin repeat domain containing, Protein phosphatase 1 regulatory subunits	landmark		
ABCC5	ATP binding cassette subfamily C member 5	ATP binding cassette subfamily C	landmark		
DNM1L	dynamin 1 like		landmark		
ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	Blood group antigens, ATP binding cassette subfamily B	landmark		
RRP8	ribosomal RNA processing 8, methyltransferase, homolog (yeast)	Seven-beta-strand methyltransferase motif containing	landmark		
PARP2	poly(ADP-ribose) polymerase 2	Poly(ADP-ribose) polymerases	landmark		
MAMLD1	mastermind like domain containing 1		landmark		
DNAJB6	DnaJ heat shock protein family (Hsp40) member B6	DNAJ (HSP40) heat shock proteins	landmark		
GLI2	GLI family zinc finger 2	Zinc fingers C2H2-type	landmark		
GLRX	glutaredoxin		landmark		
CRYZ	crystallin zeta		landmark		
GNAI2	G protein subunit alpha i2		landmark		
GNAI1	G protein subunit alpha i1		landmark		
GNA11	G protein subunit alpha 11		landmark		
GNA15	G protein subunit alpha 15		landmark		
GNAS	GNAS complex locus	Granins	landmark		
CSK	CSK, non-receptor tyrosine kinase	SH2 domain containing	landmark		
CSNK2A2	casein kinase 2 alpha 2		landmark		
CSNK1E	casein kinase 1 epsilon		landmark		
CSNK1A1	casein kinase 1 alpha 1		landmark		
CSRP1	cysteine and glycine rich protein 1	LIM domain containing	landmark		
SLC35B1	solute carrier family 35 member B1	Solute carriers	landmark		
TIMM17B	translocase of inner mitochondrial membrane 17B		landmark		
KAT6B	lysine acetyltransferase 6B	Zinc fingers C2HC-type, PHD finger proteins, Lysine acetyltransferases	landmark		
NNT	nicotinamide nucleotide transhydrogenase		landmark		
ADAT1	adenosine deaminase, tRNA specific 1	Adenosine deaminases acting on RNA	landmark		
MFSD10	major facilitator superfamily domain containing 10		landmark		
TRIB1	tribbles pseudokinase 1		landmark		
SUZ12	SUZ12 polycomb repressive complex 2 subunit	Zinc fingers C2H2-type, Polycomb repressive complex 2	landmark		
TRIM13	tripartite motif containing 13	Ring finger proteins, Tripartite motif containing	landmark		
TXNDC9	thioredoxin domain containing 9		landmark		
FASTKD5	FAST kinase domains 5		landmark		
SORBS3	sorbin and SH3 domain containing 3		landmark		
RBM6	RNA binding motif protein 6	G-patch domain containing, RNA binding motif containing	landmark		
MACF1	microtubule-actin crosslinking factor 1	EF-hand domain containing, Plakins	landmark		
MBNL2	muscleblind like splicing regulator 2	Zinc fingers CCCH-type	landmark		
ICMT	isoprenylcysteine carboxyl methyltransferase		landmark		
CEBPZ	CCAAT/enhancer binding protein zeta	CCAAT/enhancer binding proteins	landmark		
SFN	stratifin	14-3-3 phospho-serine/phospho-threonine binding proteins	landmark		
SLC25A13	solute carrier family 25 member 13	Solute carriers, EF-hand domain containing	landmark		
GPC1	glypican 1	Glypicans	landmark		
CTNND1	catenin delta 1	Armadillo repeat containing	landmark		
CTSD	cathepsin D	Cathepsins	landmark		
CTSL	cathepsin L	Cathepsins	landmark		
GPER1	G protein-coupled estrogen receptor 1	G protein-coupled estrogen receptor	landmark		
CYB561	cytochrome b561	Cytochrome b561	landmark		
GRB10	growth factor receptor bound protein 10	Pleckstrin homology domain containing, SH2 domain containing	landmark		
GRB7	growth factor receptor bound protein 7	Pleckstrin homology domain containing, SH2 domain containing	landmark		
GRN	granulin precursor		landmark		
TMEM2	transmembrane protein 2		landmark		
HMG20B	high mobility group 20B	Non-canonical high mobility group	landmark		
ARFIP2	ADP ribosylation factor interacting protein 2	Classical BAR domain containing	landmark		
LSM5	LSM5 homolog, U6 small nuclear RNA and mRNA degradation associated		landmark		
PLA2G15	phospholipase A2 group XV	Phospholipases	landmark		
TNIP1	TNFAIP3 interacting protein 1		landmark		
NUP62	nucleoporin 62	Nucleoporins	landmark		
SSBP2	single stranded DNA binding protein 2		landmark		
TMEM5	transmembrane protein 5		landmark		
IKZF1	IKAROS family zinc finger 1	Zinc fingers C2H2-type, Protein phosphatase 1 regulatory subunits	landmark		
NR3C1	nuclear receptor subfamily 3 group C member 1	Nuclear hormone receptors	landmark		
PAK4	p21 (RAC1) activated kinase 4		landmark		
AKAP8	A-kinase anchoring protein 8	A-kinase anchoring proteins	landmark		
STUB1	STIP1 homology and U-box containing protein 1	U-box domain containing, Tetratricopeptide repeat domain containing	landmark		
TMEM50A	transmembrane protein 50A		landmark		
KLHDC2	kelch domain containing 2		landmark		
CXCL2	C-X-C motif chemokine ligand 2	Chemokine ligands, Endogenous ligands	landmark		
NET1	neuroepithelial cell transforming 1	Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors	landmark		
ACOT9	acyl-CoA thioesterase 9	Acyl-CoA thioesterases	landmark		
SMNDC1	survival motor neuron domain containing 1	Tudor domain containing	landmark		
DAG1	dystroglycan 1		landmark		
DAXX	death domain associated protein		landmark		
GSTM2	glutathione S-transferase mu 2	Glutathione S-transferases	landmark		
GSTZ1	glutathione S-transferase zeta 1	Glutathione S-transferases	landmark		
GTF2A2	general transcription factor IIA subunit 2	General transcription factors	landmark		
MSH6	mutS homolog 6	MutS homologs, PWWP domain containing	landmark		
ELAC2	elaC ribonuclease Z 2		landmark		
DCTD	dCMP deaminase		landmark		
DCK	deoxycytidine kinase		landmark		
GTF2E2	general transcription factor IIE subunit 2	General transcription factors	landmark		
DDB2	damage specific DNA binding protein 2	WD repeat domain containing, Xeroderma pigmentosum complementation groups, Nucleotide excision repair	landmark		
GADD45A	growth arrest and DNA damage inducible alpha		landmark		
DECR1	2,4-dienoyl-CoA reductase 1	Short chain dehydrogenase/reductase superfamily	landmark		
DDX10	DEAD-box helicase 10	DEAD-box helicases	landmark		
DFFB	DNA fragmentation factor subunit beta		landmark		
DFFA	DNA fragmentation factor subunit alpha		landmark		
CRTAP	cartilage associated protein		landmark		
VAT1	vesicle amine transport 1		landmark		
STK25	serine/threonine kinase 25	STRIPAK complex	landmark		
LRRC41	leucine rich repeat containing 41		landmark		
VAV3	vav guanine nucleotide exchange factor 3	Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors, SH2 domain containing	landmark		
PPIE	peptidylprolyl isomerase E	RNA binding motif containing, Cyclophilin peptidylprolyl isomerases	landmark		
LYPLA1	lysophospholipase I		landmark		
MYL9	myosin light chain 9	Myosin light chains, EF-hand domain containing	landmark		
DLD	dihydrolipoamide dehydrogenase		landmark		
TUBB6	tubulin beta 6 class V	Tubulins	landmark		
DNM1	dynamin 1	Pleckstrin homology domain containing	landmark		
CIAPIN1	cytokine induced apoptosis inhibitor 1	Seven-beta-strand methyltransferase motif containing	landmark		
DNMT3A	DNA methyltransferase 3 alpha	PWWP domain containing	landmark		
DNMT1	DNA methyltransferase 1	Zinc fingers CXXC-type, Seven-beta-strand methyltransferase motif containing	landmark		
PLSCR3	phospholipid scramblase 3	Phospholipid scramblases	landmark		
TXLNA	taxilin alpha		landmark		
APPBP2	amyloid beta precursor protein binding protein 2		landmark		
HYOU1	hypoxia up-regulated 1	Heat shock 70kDa proteins	landmark		
CHERP	calcium homeostasis endoplasmic reticulum protein	G-patch domain containing	landmark		
SNX6	sorting nexin 6	Sorting nexins, PX-BAR domain containing	landmark		
THAP11	THAP domain containing 11	THAP domain containing	landmark		
DRAP1	DR1 associated protein 1		landmark		
RPP38	ribonuclease P/MRP subunit p38		landmark		
SLC35A1	solute carrier family 35 member A1	Solute carriers	landmark		
MCOLN1	mucolipin 1	Transient receptor potential cation channels	landmark		
DPH2	DPH2 homolog		landmark		
DSG2	desmoglein 2	Desmosomal cadherins	landmark		
TSC22D3	TSC22 domain family member 3		landmark		
DUSP6	dual specificity phosphatase 6	MAP kinase phosphatases	landmark		
DUSP4	dual specificity phosphatase 4	MAP kinase phosphatases	landmark		
DUSP3	dual specificity phosphatase 3	Atypical dual specificity phosphatases	landmark		
PSRC1	proline and serine rich coiled-coil 1		landmark		
TOR1A	torsin family 1 member A		landmark		
E2F2	E2F transcription factor 2	E2F transcription factors	landmark		
ECH1	enoyl-CoA hydratase 1		landmark		
SQRDL	sulfide quinone reductase-like (yeast)		landmark		
LYRM1	LYR motif containing 1	LYR motif containing	landmark		
SCYL3	SCY1 like pseudokinase 3	SCY1 like pseudokinases	landmark		
ENOPH1	enolase-phosphatase 1	HAD Asp-based non-protein phosphatases	landmark		
PRUNE1	prune exopolyphosphatase 1		landmark		
ZMIZ1	zinc finger MIZ-type containing 1	Zinc fingers MIZ-type	landmark		
YKT6	YKT6 v-SNARE homolog (S. cerevisiae)	SNAREs	landmark		
CGRRF1	cell growth regulator with ring finger domain 1	Ring finger proteins	landmark		
NPRL2	NPR2-like, GATOR1 complex subunit	GATOR1 subcomplex	landmark		
IGF2BP2	insulin like growth factor 2 mRNA binding protein 2	RNA binding motif containing	landmark		
STAMBP	STAM binding protein		landmark		
ST6GALNAC2	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2	Sialyltransferases	landmark		
PAICS	phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase		landmark		
CNPY3	canopy FGF signaling regulator 3	Trinucleotide repeat containing	landmark		
RRAGA	Ras related GTP binding A		landmark		
EBP	emopamil binding protein (sterol isomerase)		landmark		
GNB5	G protein subunit beta 5	WD repeat domain containing	landmark		
H2AFV	H2A histone family member V	Histones	landmark		
EDN1	endothelin 1	Endogenous ligands	landmark		
EGF	epidermal growth factor		landmark		
EGR1	early growth response 1	Zinc fingers C2H2-type	landmark		
EGFR	epidermal growth factor receptor	Erb-b2 receptor tyrosine kinases	landmark		
EIF4EBP1	eukaryotic translation initiation factor 4E binding protein 1		landmark		
EIF5	eukaryotic translation initiation factor 5		landmark		
EIF4G1	eukaryotic translation initiation factor 4 gamma 1	Parkinson disease associated genes	landmark		
ELAVL1	ELAV like RNA binding protein 1	RNA binding motif containing	landmark		
MPZL1	myelin protein zero like 1	V-set domain containing	landmark		
SLC25A14	solute carrier family 25 member 14	Solute carriers	landmark		
MAP7	microtubule associated protein 7		landmark		
ADO	2-aminoethanethiol dioxygenase		landmark		
ARPP19	cAMP regulated phosphoprotein 19		landmark		
POP4	POP4 homolog, ribonuclease P/MRP subunit		landmark		
ZNF274	zinc finger protein 274	Zinc fingers C2H2-type, SCAN domain containing	landmark		
ABHD6	abhydrolase domain containing 6	Abhydrolase domain containing	landmark		
DNAJA3	DnaJ heat shock protein family (Hsp40) member A3	DNAJ (HSP40) heat shock proteins	landmark		
USP14	ubiquitin specific peptidase 14	Ubiquitin specific peptidases	landmark		
KDM5B	lysine demethylase 5B	PHD finger proteins, AT-rich interaction domain containing, Lysine demethylases	landmark		
YME1L1	YME1 like 1 ATPase	AAA ATPases	landmark		
TCFL5	transcription factor like 5	Basic helix-loop-helix proteins	landmark		
CASC3	cancer susceptibility 3	Exon junction complex	landmark		
COG2	component of oligomeric golgi complex 2	Components of oligomeric golgi complex	landmark		
MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase		landmark		
EML3	echinoderm microtubule associated protein like 3	WD repeat domain containing	landmark		
MTA1	metastasis associated 1	GATA zinc finger domain containing, Myb/SANT domain containing, NuRD complex	landmark		
PDLIM1	PDZ and LIM domain 1	LIM domain containing, PDZ domain containing	landmark		
PRPF4	pre-mRNA processing factor 4	WD repeat domain containing	landmark		
SMC3	structural maintenance of chromosomes 3	Proteoglycans, Structural maintenance of chromosomes proteins, Cohesin complex	landmark		
CCNB2	cyclin B2	Cyclins	landmark		
CCNE2	cyclin E2	Cyclins	landmark		
SYNGR3	synaptogyrin 3		landmark		
LPAR2	lysophosphatidic acid receptor 2	Lysophosphatidic acid receptors	landmark		
ZW10	zw10 kinetochore protein		landmark		
ARHGEF2	Rho/Rac guanine nucleotide exchange factor 2	Pleckstrin homology domain containing, Rho guanine nucleotide exchange factors	landmark		
CPSF4	cleavage and polyadenylation specific factor 4		landmark		
MALT1	MALT1 paracaspase	Immunoglobulin like domain containing, CBM complex	landmark		
KIAA0907	KIAA0907		landmark		
CLSTN1	calsyntenin 1	Cadherin related	landmark		
FOXJ3	forkhead box J3	Forkhead boxes	landmark		
PGRMC1	progesterone receptor membrane component 1	Membrane associated progesterone receptor family	landmark		
CANT1	calcium activated nucleotidase 1		landmark		
RAB11FIP2	RAB11 family interacting protein 2	C2 domain containing	landmark		
ATF5	activating transcription factor 5	Basic leucine zipper proteins	landmark		
MTF2	metal response element binding transcription factor 2	PHD finger proteins, Tudor domain containing	landmark		
PUF60	poly(U) binding splicing factor 60	RNA binding motif containing	landmark		
CLPX	caseinolytic mitochondrial matrix peptidase chaperone subunit	AAA ATPases	landmark		
AURKB	aurora kinase B	Protein phosphatase 1 regulatory subunits, Chromosomal passenger complex	landmark		
VAPB	VAMP associated protein B and C		landmark		
NOLC1	nucleolar and coiled-body phosphoprotein 1		landmark		
WASF3	WAS protein family member 3	Wiskott-Aldrich Syndrome protein family	landmark		
UTP14A	UTP14A small subunit processome component		landmark		
FRS2	fibroblast growth factor receptor substrate 2		landmark		
GRWD1	glutamate rich WD repeat containing 1	WD repeat domain containing	landmark		
UBE2L6	ubiquitin conjugating enzyme E2 L6	Ubiquitin conjugating enzymes E2	landmark		
CYTH1	cytohesin 1	Pleckstrin homology domain containing	landmark		
MAPKAPK2	mitogen-activated protein kinase-activated protein kinase 2	Mitogen-activated protein kinase-activated protein kinases	landmark		
COPB2	coatomer protein complex subunit beta 2	WD repeat domain containing	landmark		
ITGB1BP1	integrin subunit beta 1 binding protein 1		landmark		
BCL7B	BCL tumor suppressor 7B		landmark		
ADGRG1	adhesion G protein-coupled receptor G1	Adhesion G protein-coupled receptors, subfamily G	landmark		
HERC6	HECT and RLD domain containing E3 ubiquitin protein ligase family member 6		landmark		
TMED10	transmembrane p24 trafficking protein 10	Transmembrane p24 trafficking proteins	landmark		
ASCC3	activating signal cointegrator 1 complex subunit 3	DNA helicases, RNA helicases	landmark		
PPP2R3C	protein phosphatase 2 regulatory subunit B''gamma	Protein phosphatase 2 regulatory subunits	landmark		
PIH1D1	PIH1 domain containing 1	R2TP complex	landmark		
RPIA	ribose 5-phosphate isomerase A		landmark		
PDIA5	protein disulfide isomerase family A member 5	Protein disulfide isomerases	landmark		
TOMM34	translocase of outer mitochondrial membrane 34	Tetratricopeptide repeat domain containing	landmark		
FKBP14	FK506 binding protein 14	EF-hand domain containing, FKBP prolyl isomerases	landmark		
EBNA1BP2	EBNA1 binding protein 2		landmark		
CDCA4	cell division cycle associated 4		landmark		
MLLT11	myeloid/lymphoid or mixed-lineage leukemia; translocated to, 11		landmark		
WIPF2	WAS/WASL interacting protein family member 2		landmark		
SACM1L	SAC1 suppressor of actin mutations 1-like (yeast)	Phosphoinositide phosphatases	landmark		
ATF6	activating transcription factor 6	Basic leucine zipper proteins	landmark		
TCERG1	transcription elongation regulator 1		landmark		
TM9SF2	transmembrane 9 superfamily member 2	Transmembrane 9 superfamily members	landmark		
EPN2	epsin 2		landmark		
RNPS1	RNA binding protein with serine rich domain 1	RNA binding motif containing, ASAP complex	landmark		
PDHX	pyruvate dehydrogenase complex component X		landmark		
FOSL1	FOS like 1, AP-1 transcription factor subunit	Basic leucine zipper proteins, Fos transcription factor family	landmark		
BLCAP	bladder cancer associated protein		landmark		
HMGA2	high mobility group AT-hook 2	Canonical high mobility group	landmark		
TRIB3	tribbles pseudokinase 3		landmark		
PLEKHJ1	pleckstrin homology domain containing J1	Pleckstrin homology domain containing	landmark		
HEATR1	HEAT repeat containing 1	Minor histocompatibility antigens	landmark		
ANO10	anoctamin 10	Anoctamins	landmark		
UBR7	ubiquitin protein ligase E3 component n-recognin 7 (putative)	Ubiquitin protein ligase E3 component n-recognins	landmark		
TRAPPC6A	trafficking protein particle complex 6A	Trafficking protein particle complex	landmark		
CHAC1	ChaC glutathione specific gamma-glutamylcyclotransferase 1		landmark		
CCDC86	coiled-coil domain containing 86		landmark		
MAP4K4	mitogen-activated protein kinase kinase kinase kinase 4	Mitogen-activated protein kinase kinase kinase kinases	landmark		
HOMER2	homer scaffolding protein 2	Homer scaffolding proteins	landmark		
SH3BP5	SH3 domain binding protein 5		landmark		
METRN	meteorin, glial cell differentiation regulator		landmark		
PIGB	phosphatidylinositol glycan anchor biosynthesis class B	Dolichyl D-mannosyl phosphate dependent mannosyltransferases, Phosphatidylinositol glycan anchor biosynthesis	landmark		
PSMF1	proteasome inhibitor subunit 1	Proteasome	landmark		
ELOVL6	ELOVL fatty acid elongase 6		landmark		
TMEM109	transmembrane protein 109		landmark		
ITFG1	integrin alpha FG-GAP repeat containing 1		landmark		
FBXO11	F-box protein 11	F-boxes other, Ubiquitin protein ligase E3 component n-recognins	landmark		
ADI1	acireductone dioxygenase 1		landmark		
CCDC92	coiled-coil domain containing 92		landmark		
GDPD5	glycerophosphodiester phosphodiesterase domain containing 5		landmark		
POLD4	DNA polymerase delta 4, accessory subunit	DNA polymerases	landmark		
SPTLC2	serine palmitoyltransferase long chain base subunit 2		landmark		
TBPL1	TATA-box binding protein like 1		landmark		
BAG3	BCL2 associated athanogene 3	BCL2 associated athanogene family	landmark		
NRIP1	nuclear receptor interacting protein 1		landmark		
NCOA3	nuclear receptor coactivator 3	Basic helix-loop-helix proteins, Lysine acetyltransferases, Trinucleotide repeat containing	landmark		
POLR1C	RNA polymerase I subunit C	RNA polymerase subunits	landmark		
SPAG7	sperm associated antigen 7		landmark		
SMC1A	structural maintenance of chromosomes 1A	Structural maintenance of chromosomes proteins, Cohesin complex	landmark		
FAIM	Fas apoptotic inhibitory molecule		landmark		
LAGE3	L antigen family member 3		landmark		
